"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant de l’agent dans le référentiel FRAN_RI_012 du SI des Archives nationales","Nom de la classe RiC-O d’appartenance","Forme privilégiée du nom de l’agent","Autres formes du nom de l’agent","Date de naissance (rico:birthDate)","Date de décès (rico:deathDate)","Histoire de l’agent (rico:history)","Identifiant ISNI","Identifiant Wikidata","Notice Wikipédia","Identifiant de l’agent dans le référentiel des producteurs des Archives nationales","URI BnF"
"agent/FRAN_RI_012-d699mu6e6nn--1da1yqp4qhe85","d699mu6e6nn--1da1yqp4qhe85","Person","Angennes, Angélique Clarisse d' (1627 ?-1664)",,,,,,,,,
"agent/FRAN_RI_012-d699mu18ab3-dgxg1mu0s1n3","d699mu18ab3-dgxg1mu0s1n3","Person","Angennes, Catherine Henriette d' (16..-16..)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3ig1o-il7vkgndk55e","d699mu3ig1o-il7vkgndk55e","Person","Angennes, Charles d' (1530-1587)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1t8zt-jicsunt413pf","d699mu1t8zt-jicsunt413pf","Person","Angennes, Charles d' (1577-1651)",,,,,,,,,
"agent/FRAN_RI_012-d699mu5g454--grid2j4stpar","d699mu5g454--grid2j4stpar","Person","Angennes, Claude d' (1538-1601)",,,,,,,,,
"agent/FRAN_RI_012-d699mu0fuml-gek2jnhhbcl","d699mu0fuml-gek2jnhhbcl","Person","Angennes, Gabriel Charles François d' (1686-1752)",,,,,,,,,
"agent/FRAN_RI_012-d699mu2jeo4-rbmdfecfvzo1","d699mu2jeo4-rbmdfecfvzo1","Person","Angennes, Julie d' (1607-1671)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3kddh--vhrt3s5ov654","d699mu3kddh--vhrt3s5ov654","Person","Angennes, Louise Isabelle d' (1586 ?-1666)",,,,,,,,,
"agent/FRAN_RI_012-d699mu5js2b-111he1llc4rsh","d699mu5js2b-111he1llc4rsh","Person","Angennes, Madeleine d' (16..-1709)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3zexd--fpnzt92zowrh","d699mu3zexd--fpnzt92zowrh","Person","Anglès, Jules Jean-Baptiste (1778-1828)",,,,,,,,,
"agent/FRAN_RI_012-d-b63avtbjv-e5k5ray3miy8","d-b63avtbjv-e5k5ray3miy8","Person","Anglure de Bourlemont, Charles François (1605?-1669)",,"1605-01-01","1669-11-25",,,,,,"https://data.bnf.fr/ark:/12148/cb10082968d#about"
"agent/FRAN_RI_012-d699mu2nn6w-ly8we0ho5cnn","d699mu2nn6w-ly8we0ho5cnn","Person","Angran d'Alleray, Denis François (1716-1794)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4rnvf--jx7o4kvc3693","d699mu4rnvf--jx7o4kvc3693","Person","Anjou, François (1554-1584 , duc d')",,,,,,,,,
"agent/FRAN_RI_012-d699mu13rhh-1fkry0t5ktbob","d699mu13rhh-1fkry0t5ktbob","Person","Anne d'Autriche (reine de France , 1601-1666)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1z6x6-2kvmeatxg0n3","d699mu1z6x6-2kvmeatxg0n3","Person","Anne de Gonzague (princesse palatine , 1616-1684)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qvg0of--hrnbt7slvi4e","d-dv4qvg0of--hrnbt7slvi4e","Person","Antoine, Louis Henry (1820-1900)",,"1820-01-01","1900-01-01","Né en 1820 à Lunéville. Décédé en 1900 à Amiens. A œuvré à la restauration de la cathédrale d'Amiens.",,,,,
"agent/FRAN_RI_012-d3m0bn30ftb--1obnck1p1zncr","d3m0bn30ftb--1obnck1p1zncr","Person","Anville, Jean-Baptiste Bourguignon d' (1697-1782)",,,,,,,,,
"agent/FRAN_RI_012-d699mtz5l5z-1fq5ciwjlg73o","d699mtz5l5z-1fq5ciwjlg73o","Person","Arafat, Yasser (1929-2004)",,,,,,,,,
"agent/FRAN_RI_012-d699mu46c41--e2t19pw06i11","d699mu46c41--e2t19pw06i11","Person","Argenson, René de Voyer (1596-1651 , comte d')",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qvg6pp-rroayittn6mn","d-dv4qvg6pp-rroayittn6mn","Person","Aribal, Pierre (1823-1905)",,"1823-01-01","1905-12-22","Né le 01/01/1823. Décédé le 22/12/1905. Inspecteur des travaux des édifices diocésains. A œuvré à la restauration des cathédrales de Maguelonne, Montpellier.",,"Q21568737",,,
"agent/FRAN_RI_012-d699mu2v3se--sw3pa813sb63","d699mu2v3se--sw3pa813sb63","Person","Arnauld, Antoine (1612-1694)",,,,,,,,,
"agent/FRAN_RI_012-d699mu5qa71--1ct9qj8wb26w4","d699mu5qa71--1ct9qj8wb26w4","Person","Arnauld, Jacqueline Marie Angélique (1591-1661)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1fbun-1kaha8bhx457z","d699mu1fbun-1kaha8bhx457z","Person","Arpaillange, Pierre (1924-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu05cou-pilm6g8uusdb","d699mu05cou-pilm6g8uusdb","Person","Artagnan, Charles de Batz de Castelmore (161.-1673 , comte d')",,,,,,,,,
"agent/FRAN_RI_012-d699mtzkcf2--b3kc0qq75eyx","d699mtzkcf2--b3kc0qq75eyx","Person","Arthus-Bertrand, Yann (1946-....)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qvge9b--17x37mfieyehl","d-dv4qvge9b--17x37mfieyehl","Person","Arveuf-Fransquin, Jean Jacques (1802-1876)",,"1802-09-10","1876-01-01","Né le 09/10/1802 à Paris. Décédé en 1876. Architecte diocésain. A œuvré à la restauration des cathédrales de Clermont-Ferrand, Paris, Le Puy, Reims, Saint-Flour.",,"Q20683852","https://fr.wikipedia.org/wiki/Jean-Jacques_Arveuf-Fransquin",,
"agent/FRAN_RI_012-d699mu0s0s5-156ce2jhtjmd6","d699mu0s0s5-156ce2jhtjmd6","Person","Astier, Marcel (1885-1947)",,,,,,,,,
"agent/FRAN_RI_012-d699mtz2rcp-1ewziavi0u8cq","d699mtz2rcp-1ewziavi0u8cq","Person","Attali, Bernard (1943-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu00mc9--887kldm56jg8","d699mu00mc9--887kldm56jg8","Person","Aubert, François d' (1943-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mtzliet-1t8ruazfi0q7m","d699mtzliet-1t8ruazfi0q7m","Person","Aubert, Raymond-Max (1947-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu3ejt0--1cknm3v1d0f50","d699mu3ejt0--1cknm3v1d0f50","Person","Aubry, Claude-Guillot (1703-1771)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qvglfc--gu5z5nflsio7","d-dv4qvglfc--gu5z5nflsio7","Person","Aubry, Gaston (1853-1901)",,"1853-11-15","1901-08-26","Né le 15/11/1853 à Montargis. Décédé le 26/08/1901 à Sèvres. Architecte diocésain. A œuvré à la restauration des cathédrales d'Autun, Aire-sur-l'Adour.",,"Q26250877",,,
"agent/FRAN_RI_012-d699mtza00z-pvmhoswok3la","d699mtza00z-pvmhoswok3la","Person","Aubry, Jean-Baptiste (16.. ?-1692)",,,,,,,,,
"agent/FRAN_RI_012-d699mu63cfs-135qgw9gh1l6t","d699mu63cfs-135qgw9gh1l6t","Person","Aubry, Martine (1950-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu566eq-wpv7f06osvzl","d699mu566eq-wpv7f06osvzl","Person","Audin, Maurice (1932-1957)",,,,,,,,,
"agent/FRAN_RI_012-d3nyup3fnt--uilgx2ssu44m","d3nyup3fnt--uilgx2ssu44m","Person","Auguste II (roi de Pologne , 1670-1733)",,,,,,,,,
"agent/FRAN_RI_012-d699mu2jxaf-7hjgju0gmbph","d699mu2jxaf-7hjgju0gmbph","Person","Aumale, Henri d'Orléans (1822-1897 , duc d')",,,,,,,,"052520",
"agent/FRAN_RI_012-d699mu5shfe--96i5pwn9qa15","d699mu5shfe--96i5pwn9qa15","Person","Aumont, Antoine (1601 ?-1669 , duc d')",,,,,,,,,
"agent/FRAN_RI_012-d699mtzirdd--hxcizx8lyaal","d699mtzirdd--hxcizx8lyaal","Person","Aumont, Antoine d' (1562-1635)",,,,,,,,,
"agent/FRAN_RI_012-d699mu2n46c-18p6otblfrx0p","d699mu2n46c-18p6otblfrx0p","Person","Aumont, Jean d' (1522-1595)",,,,,,,,,
"agent/FRAN_RI_012-d699mtz5sap--1sd8re92vwg10","d699mtz5sap--1sd8re92vwg10","Person","Aumont, Louis Marie Augustin (1709-1782 , duc d')",,,,,,,,,
"agent/FRAN_RI_012-d699mu6ezkr-65giy1prt8pp","d699mu6ezkr-65giy1prt8pp","Person","Aumont, Louis Marie Guy (1732-1799 , duc d')",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qvguh9-9nzftwjd61er","d-dv4qvguh9-9nzftwjd61er","Person","Aurignac, Guillaume (1838-....)",,"1838-03-18",,"Né le 18/03/1838 à Grenade-sur-Garonne. Inspecteur des édifices diocésains. A œuvré à la restauration de la cathédrale d'Albi.",,"Q21595701",,,
"agent/FRAN_RI_012-d699mtzcu8i-1rbuvbuakx2sz","d699mtzcu8i-1rbuvbuakx2sz","Person","Auriol, Vincent (1884-1966)",,,,,,,,"009908",
"agent/FRAN_RI_012-d699mtzwand-hd9v3vxo13rh","d699mtzwand-hd9v3vxo13rh","Person","Auroux, Jean (1942-....)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qvh0ij-1j9kfduoklu8g","d-dv4qvh0ij-1j9kfduoklu8g","Person","Auvray, Émile (1864-1933)",,"1864-12-30","1933-03-09","Né le 30/12/1864 à Goderville. Décédé le 03/09/1933 à Rouen. Architecte. A œuvré à la restauration de la cathédrale de Rouen.",,"Q21558258",,,"https://data.bnf.fr/ark:/12148/cb155526288#about"
"agent/FRAN_RI_012-d-dv4qvh5f3-radgw5yx2fdj","d-dv4qvh5f3-radgw5yx2fdj","Person","Auxcousteaux, Jean Baptiste Léon (1814-1872)",,"1814-02-19","1872-01-01","Né le 19/02/1814 à Beauvais. Décédé en 1872. Inspecteur des travaux des édifices diocésains. A œuvré à la restauration de la cathédrale de Beauvais.",,"Q26690095",,,
"agent/FRAN_RI_012-d-6owux9d9yb--17fn9zu25pheb","d-6owux9d9yb--17fn9zu25pheb","Person","Auzelle, Robert (1913-1983)",,"1913-01-01","1983-01-01",,,,,,
"agent/FRAN_RI_012-d699mu5w5qu--vh46eq8nogu2","d699mu5w5qu--vh46eq8nogu2","Person","Aveline, Pierre (1656-1722)",,,,,,,,,
"agent/FRAN_RI_012-d699mu35den--1eyd7ef24wncc","d699mu35den--1eyd7ef24wncc","Person","Avice, Edwige (1945-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1y6h3--7qim9wosdbho","d699mu1y6h3--7qim9wosdbho","Person","Baader, Andreas (1943-1977)",,,,,,,,,
"agent/FRAN_RI_012-d699mu53xlb--4rv64va08tac","d699mu53xlb--4rv64va08tac","Person","Babou de La Bourdaisière, Isabelle (15..-16..)",,,,,,,,,
"agent/FRAN_RI_012-d3m0bn2y1gb--1xp1dhuzfi487","d3m0bn2y1gb--1xp1dhuzfi487","Person","Bacler d'Albe, Louis Albert Ghislain (1761-1824 , baron de)","Bacler Dalbe, Louis Albert Ghislain (1761-1824 , baron de)",,,,,,,,
"agent/FRAN_RI_012-d699mu6dwr4--1qd1numvxsm03","d699mu6dwr4--1qd1numvxsm03","Person","Badinter, Robert (1928-....)",,,,,,,,,
"agent/FRAN_RI_012-d3m0bn3tbpm--121q7mljf8byx","d3m0bn3tbpm--121q7mljf8byx","Person","Bailleul, Nicolas (17..-17..)",,,,,,,,,
"agent/FRAN_RI_012-d3m0bn4j6o0--1nlm5obpza92p","d3m0bn4j6o0--1nlm5obpza92p","Person","Baillieul, Gaspard (16..-1744)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qvhe3f--1w9l944hbnvum","d-dv4qvhe3f--1w9l944hbnvum","Person","Bailly, Antoine Nicolas (1810-1892)",,"1810-06-06","1892-01-01","Né le 06/06/1810 à Paris. Décédé en 1892 à Paris. Architecte diocésain. A œuvré à la restauration des cathédrales de Digne, Limoges, Paris, Valence, Aix-en-Provence, Bourges.","0000000066417192","Q2853539","https://fr.wikipedia.org/wiki/Antoine-Nicolas_Bailly",,"https://data.bnf.fr/ark:/12148/cb105818484#about"
"agent/FRAN_RI_012-d699mu41x92--11rtp8zq573o7","d699mu41x92--11rtp8zq573o7","Person","Balagny, Georges Auguste (1839-1919)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1khnf--1hx16rr8f15qv","d699mu1khnf--1hx16rr8f15qv","Person","Balladur, Edouard (1929-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu0i70d-8w9sov0h4kwc","d699mu0i70d-8w9sov0h4kwc","Person","Ballet, Claude Nicolas (1744-1821)",,,,,,,,"012755",
"agent/FRAN_RI_012-d-dv4qvhkia--niqp0l1n9l8z","d-dv4qvhkia--niqp0l1n9l8z","Person","Balleyguier, Georges (1855-1944)",,"1855-04-18","1944-09-25","Né le 18/04/1855 à Paris. Décédé le 25/09/1944. Architecte diocésain. A œuvré à la restauration de la cathédrale de Luçon.",,"Q26202642",,,
"agent/FRAN_RI_012-d-dv4qvhp19--86ev1a9yua14","d-dv4qvhp19--86ev1a9yua14","Person","Ballu, Albert (1849-1939)",,"1849-01-06","1939-03-11","Né le 01/06/1849 à Paris. Décédé le 03/11/1939 à Paris. Architecte. A œuvré à la restauration des cathédrales d'Oran, Alger.",,"Q2830939","https://fr.wikipedia.org/wiki/Albert_Ballu",,
"agent/FRAN_RI_012-d-dv4qvhtxt-1l21cm9816jgs","d-dv4qvhtxt-1l21cm9816jgs","Person","Ballu, Théodore (1817-1885)",,"1817-08-06","1885-05-22","Né le 08/06/1817 à Paris. Décédé le 22/05/1885 à Paris. Architecte diocésain. A œuvré à la restauration de la cathédrale d'Aix-en-Provence.","0000000066414346","Q690231","https://fr.wikipedia.org/wiki/Th%C3%A9odore_Ballu",,"https://data.bnf.fr/ark:/12148/cb103420229#about"
"agent/FRAN_RI_012-d699mu62smp--1gw6kzthp3437","d699mu62smp--1gw6kzthp3437","Person","Baltard, Louis-Pierre (1764-1846)",,,,,,,,,
"agent/FRAN_RI_012-d699mu39h6b--cvdfydcwj96j","d699mu39h6b--cvdfydcwj96j","Person","Balzac, Honoré de (1799-1850)",,,,,,,,,
"agent/FRAN_RI_012-d699mu50833-14heji4ecopnc","d699mu50833-14heji4ecopnc","Person","Balzac, Laure (1778-1854)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1xbyx--12lblizje567z","d699mu1xbyx--12lblizje567z","Person","Bambuck, Roger (1945-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu4xl09--16g1y3f5t76f9","d699mu4xl09--16g1y3f5t76f9","Person","Bapst, Jacques Eberhard (1771-1842)",,,,,,,,,
"agent/FRAN_RI_012-d699mu62xdu--1bkzalcj6niy0","d699mu62xdu--1bkzalcj6niy0","Person","Bapst, Paul Constant (1797-1853)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qvi13t-1xpntzymyez55","d-dv4qvi13t-1xpntzymyez55","Person","Baralle, Henry Joseph (de) (1827-1882)",,"1827-01-01","1882-11-06","Né en 1827 à Cambrai. Décédé le 11/06/1882 à Cambrai. Architecte diocésain. A œuvré à la restauration de la cathédrale de Cambrai.",,"Q21591282",,,
"agent/FRAN_RI_012-d699mu4mwc2--1fs7smla9zbq","d699mu4mwc2--1fs7smla9zbq","Person","Barangé, Charles (1897-1985)",,,,,,,,,
"agent/FRAN_RI_012-d699mu2yhes-164q10p7aecqo","d699mu2yhes-164q10p7aecqo","Person","Barbaut de Glatigny, Louis Claude Marthe (1726-1783)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qvi6rj--5h7y0srjn3b9","d-dv4qvi6rj--5h7y0srjn3b9","Person","Barbelet",,,,"A œuvré à la restauration de la cathédrale d'Autun.",,,,,
"agent/FRAN_RI_012-d699mu3d0cc--19eo2ryn30nmf","d699mu3d0cc--19eo2ryn30nmf","Person","Barberie de Courteille, Jacques Dominique (1696-1767)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1pret--1m77maftsow2w","d699mu1pret--1m77maftsow2w","Person","Barberini, Antoine (1607-1671)",,,,,,,,,
"agent/FRAN_RI_012-d699mtz7m25--10uuhq822y6h5","d699mtz7m25--10uuhq822y6h5","Person","Barbet de Jouy, Jacques Juste (1787-1849)",,,,,,,,,
"agent/FRAN_RI_012-d699mu5xybi-1325o07oqd95a","d699mu5xybi-1325o07oqd95a","Person","Barbie, Klaus (1913-1991)",,,,,,,,,
"agent/FRAN_RI_012-d3m0bn3qgbd--qffqqwid3ja3","d3m0bn3qgbd--qffqqwid3ja3","Person","Barbié Du Bocage, Jean-Denis (1760-1825)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qvidjz-dbf2ddtssnkc","d-dv4qvidjz-dbf2ddtssnkc","Person","Bardaud",,,,"A œuvré à la restauration de la cathédrale de Tulle.",,,,,
"agent/FRAN_RI_012-d699mu0c15r--l9drnj04iw7v","d699mu0c15r--l9drnj04iw7v","Person","Bardot, Brigitte (1934-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu1lhp8--nw1g4mmowz3g","d699mu1lhp8--nw1g4mmowz3g","Person","Bardout, Théodore (....-1841)",,,,,,,,,
"agent/FRAN_RI_012-d699mtzc8g4--8r61tr8ivhm7","d699mtzc8g4--8r61tr8ivhm7","Person","Barnier, Michel (1951-....)",,,,,,,,,
"agent/FRAN_RI_012-d699mu11lfw--kq0tnd0mr6jt","d699mu11lfw--kq0tnd0mr6jt","Person","Baroin, François (1965-....)",,,,,,,,,
"agent/FRAN_RI_012-d-dv4qvijyu-8d32m5b5pnqe","d-dv4qvijyu-8d32m5b5pnqe","Person","Baron, Édouard (1806-....)",,"1806-07-31",,"Né le 31/07/1806 à La Chaux-de-Fonds. Architecte du département d'Eure-et-Loir. A œuvré à la restauration de la cathédrale de Chartres.",,,,,
"agent/FRAN_RI_012-d699mu01lzt--nl3kb82pl37k","d699mu01lzt--nl3kb82pl37k","Person","Baron, Michel (1653-1729)",,,,,,,,,
