"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"documentaryFormType/FRAN_RI_001-d3nd89nbho-16u3osxzn3rkw","d3nd89nbho-16u3osxzn3rkw","DocumentaryFormType","acte notarié",,"Acte établi par un notaire. (source : Département du Minutier central des notaires de Paris)",,,,,"documentaryFormType/FRAN_RI_001-d-a04blhkno-92bbw9jou9ed | documentaryFormType/FRAN_RI_001-d-a30srcwqc-iqa4ovt0t2mp | documentaryFormType/FRAN_RI_001-d-a9cel0wzc--1ki1j5devjps",,,,,,"02/05/2022 : définition ajoutée le [02/05/2022]"
"documentaryFormType/FRAN_RI_001-d3nd89svym-c1cv76xovth5","d3nd89svym-c1cv76xovth5","DocumentaryFormType","actes de congrès","actes de colloque",,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3m00w8cm77-1tqmya6frrzjd","d3m00w8cm77-1tqmya6frrzjd","DocumentaryFormType","acte sous seing privé",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd89tt5o--dhoqf04g1o4n","d3nd89tt5o--dhoqf04g1o4n","DocumentaryFormType","affiche",,,,"documentaryFormType/FRAN_RI_001-d5b8d3ez8c-mlmlps3dtnb6","document graphique",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd89uqki-1sihp37bgk7ha","d3nd89uqki-1sihp37bgk7ha","DocumentaryFormType","agenda",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd89vnrk--16wap6q8xb894","d3nd89vnrk--16wap6q8xb894","DocumentaryFormType","album",,"S'emploie pour les albums de documents graphiques.",,"documentaryFormType/FRAN_RI_001-d5b8d3ez8c-mlmlps3dtnb6","document graphique",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd89wkqv--6vqbxzyz7sp0","d3nd89wkqv--6vqbxzyz7sp0","DocumentaryFormType","annonce légale","annonce officielle et légale | annonce judiciaire et légale",,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd89xhie-393mc7qw2ngf","d3nd89xhie-393mc7qw2ngf","DocumentaryFormType","annuaire",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd89yehp--2z7zlyrw5die","d3nd89yehp--2z7zlyrw5die","DocumentaryFormType","armorial",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3m00w7guie-bhj7eawslp2y","d3m00w7guie-bhj7eawslp2y","DocumentaryFormType","arrêt",,"S'applique notamment aux actes de la Cour des comptes en matière de jugement des comptes.",,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd89zbh0-fn2zvsslz5jg","d3nd89zbh0-fn2zvsslz5jg","DocumentaryFormType","arrêté",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8a088j--19kojnbc83wvg","d3nd8a088j--19kojnbc83wvg","DocumentaryFormType","article de presse",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8a15fm--9k46ej38wfc8","d3nd8a15fm--9k46ej38wfc8","DocumentaryFormType","atlas",,,,"documentaryFormType/FRAN_RI_001-d699mmwtm0y-1c9x716tm2v76","document cartographique",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8a2kb0--1w6x2p5lkup0o","d3nd8a2kb0--1w6x2p5lkup0o","DocumentaryFormType","attestation",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8a3ldr-129nz7ssd9ahs","d3nd8a3ldr-129nz7ssd9ahs","DocumentaryFormType","autorisation d'exercice professionnel",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8a4ikt-188w81hj6hr3q","d3nd8a4ikt-188w81hj6hr3q","DocumentaryFormType","autorisation d'urbanisme",,"19ème siècle.",,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8a5fk4--1m1zy9p8828mv","d3nd8a5fk4--1m1zy9p8828mv","DocumentaryFormType","avant-projet",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8a6cje--1rvuw06021kbf","d3nd8a6cje--1rvuw06021kbf","DocumentaryFormType","avant-projet d'architecture","avant-projet détaillé | avant-projet sommaire | avant-projet définitif",,,"documentaryFormType/FRAN_RI_001-d3nd8a5fk4--1m1zy9p8828mv","avant-projet",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8a79y8-1dfpx0fshw8e4","d3nd8a79y8-1dfpx0fshw8e4","DocumentaryFormType","avant-projet de loi",,,,"documentaryFormType/FRAN_RI_001-d3nd8a5fk4--1m1zy9p8828mv","avant-projet",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8a93wu-ae9lkqmwilxz","d3nd8a93wu-ae9lkqmwilxz","DocumentaryFormType","avis","avis de parents","Préciser de quelle autorité émane l'avis reviendrait à créer un champ trop restrictif. C'est pourquoi il est préférable de ne faire figurer ici que le terme générique.",,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8aa0od--1ethxybiwgeht","d3nd8aa0od--1ethxybiwgeht","DocumentaryFormType","bail","bail à rente | bail à loyer | bail à ferme",,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8aaxno--k01w0bpy8ee","d3nd8aaxno--k01w0bpy8ee","DocumentaryFormType","base de données",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8abuf8-12y7npkq554ne","d3nd8abuf8-12y7npkq554ne","DocumentaryFormType","bibliographie",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8acrej-16r90mop9gxdk","d3nd8acrej-16r90mop9gxdk","DocumentaryFormType","bilan",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8adodt-10xe2w7xfhlp1","d3nd8adodt-10xe2w7xfhlp1","DocumentaryFormType","bilan comptable","bilan financier",,,"documentaryFormType/FRAN_RI_001-d3nd8acrej-16r90mop9gxdk","bilan",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8aeld4-1x8685xus2w7h","d3nd8aeld4-1x8685xus2w7h","DocumentaryFormType","brevet d'invention",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd89p6j3-16rea8x5it1b","d3nd89p6j3-16rea8x5it1b","DocumentaryFormType","brevet notarié",,"Acte notarié dont le premier original, à la différence de la minute notariale, n’est pas conservé par le notaire ayant instrumenté, mais remis aux parties signataires. Les parties peuvent rapporter un brevet au notaire ou à son successeur pour que celui-ci soit déposé au rang des minutes ou grossoyé (copié dans les formes), de même que certains brevets ont pu rester à l’étude sans avoir été récupérés par les parties. Le brevet, jusqu’à la loi du 25 ventôse an XI (16 mars 1803) réorganisant le notariat, n’est pas inscrit, à la différence de la minute notariale, au répertoire du notaire. Il figure cependant au répertoire dans une colonne spécifique après cette réforme, même s’il n’est pas plus conservé par le notaire qu’auparavant et toujours remis directement aux parties signataires. Le brevet correspondant à une forme allégée d’acte notarié, seuls des actes d’importance relativement modeste peuvent être passés sous cette forme. (source : DMC)",,"documentaryFormType/FRAN_RI_001-d3nd89nbho-16u3osxzn3rkw","acte notarié",,,,,,,,"02/05/2022 : définition ajoutée le [02/05/2022]"
"documentaryFormType/FRAN_RI_001-d3nd8aficf-avwqwtl95mym","d3nd8aficf-avwqwtl95mym","DocumentaryFormType","brochure","presse institutionnelle","S'emploie pour désigner toutes sortes de dépliants, plaquettes...",,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8agfbq-1cqelmqz0i5zl","d3nd8agfbq-1cqelmqz0i5zl","DocumentaryFormType","budget",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8ahcb1-ss3ez0u0ty4a","d3nd8ahcb1-ss3ez0u0ty4a","DocumentaryFormType","bulle pontificale",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8ai92k--wfo4k1bs52bi","d3nd8ai92k--wfo4k1bs52bi","DocumentaryFormType","bulletin de salaire","bulletin de paie",,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8aj69n-2ryw9debp2mc","d3nd8aj69n-2ryw9debp2mc","DocumentaryFormType","bulletin de vote",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8ak2tf-110kk0n3uzzej","d3nd8ak2tf-110kk0n3uzzej","DocumentaryFormType","cahier d'enchères",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d699mmx4aaw--1kgyjvv9o6hwd","d699mmx4aaw--1kgyjvv9o6hwd","DocumentaryFormType","cahier de doléances",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8alwk9-1nsop83rsdnbg","d3nd8alwk9-1nsop83rsdnbg","DocumentaryFormType","calendrier",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8c1ubq--3r55qs4uf7jy","d3nd8c1ubq--3r55qs4uf7jy","DocumentaryFormType","caricature",,"S'emploie pour les documents graphiques.",,"documentaryFormType/FRAN_RI_001-d5b8d3ez8c-mlmlps3dtnb6","document graphique",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8co2p5-1uinwbukez0z8","d3nd8co2p5-1uinwbukez0z8","DocumentaryFormType","carnet de santé",,"Désigne le carnet médical d'un individu.",,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8c2nuv-lqflm4w8o3jx","d3nd8c2nuv-lqflm4w8o3jx","DocumentaryFormType","carte à jouer",,,,"documentaryFormType/FRAN_RI_001-d5b8d3ez8c-mlmlps3dtnb6","document graphique",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8amz5b--1agydv44ah78d","d3nd8amz5b--1agydv44ah78d","DocumentaryFormType","carte d'identité","carte nationale d'identité",,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8anw4m-zatcn4uvaz1w","d3nd8anw4m-zatcn4uvaz1w","DocumentaryFormType","carte d'identité professionnelle",,,,"documentaryFormType/FRAN_RI_001-d3nd8amz5b--1agydv44ah78d","carte d'identité",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8aosw6--1tccysg7gm8n0","d3nd8aosw6--1tccysg7gm8n0","DocumentaryFormType","carte de membre",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8apq38-9aotxhf663jy","d3nd8apq38-9aotxhf663jy","DocumentaryFormType","carte de travail",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8aqn2j--dgv2812cqteq","d3nd8aqn2j--dgv2812cqteq","DocumentaryFormType","carte de voeux",,,,,,,,,,,,,"14/04/2021 : forme préférée modifiée le [14/04/2021]"
"documentaryFormType/FRAN_RI_001-d3nd8c4ax5--zozxdc7l7vkq","d3nd8c4ax5--zozxdc7l7vkq","DocumentaryFormType","carte postale",,,,"documentaryFormType/FRAN_RI_001-d5b8d3ez8c-mlmlps3dtnb6","document graphique",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8ark1u-nz64a6kgd0bz","d3nd8ark1u-nz64a6kgd0bz","DocumentaryFormType","carton d'invitation",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8ash15-1hyjwj2tqpu7s","d3nd8ash15-1hyjwj2tqpu7s","DocumentaryFormType","cartulaire",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8atdso--17i9ugr1kx2by","d3nd8atdso--17i9ugr1kx2by","DocumentaryFormType","catalogue",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8auarz--aro7pmfu019w","d3nd8auarz--aro7pmfu019w","DocumentaryFormType","cautionnement","caution | engagement | garantie",,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8av7ji-2m7xjqbxqsjd","d3nd8av7ji-2m7xjqbxqsjd","DocumentaryFormType","certificat",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8aw4it-19as7kymqwcs3","d3nd8aw4it-19as7kymqwcs3","DocumentaryFormType","cession",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8ax1i4--1i4lwg89chtsh","d3nd8ax1i4--1i4lwg89chtsh","DocumentaryFormType","chanson",,"Correspond à la fois au texte des paroles et aux partitions musicales. Terme employé également dans le référentiel Matières.",,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8ayvoh-bx5c2dhiijb1","d3nd8ayvoh-bx5c2dhiijb1","DocumentaryFormType","charte",,"S'emploie pour les documents solennels médiévaux et d'Ancien Régime.",,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8b0d50-f15b2jnbt9l1","d3nd8b0d50-f15b2jnbt9l1","DocumentaryFormType","chronique",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8bmfh4-mfggewbaaxe9","d3nd8bmfh4-mfggewbaaxe9","DocumentaryFormType","chrono","pelurier | minutier chronologique | minutier",,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8b1dkh--2deuzgjdnpwq","d3nd8b1dkh--2deuzgjdnpwq","DocumentaryFormType","circulaire","instruction",,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8b29gz--1gv6ybg4imtfj","d3nd8b29gz--1gv6ybg4imtfj","DocumentaryFormType","communiqué","communiqué de presse",,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8b368i--1dqegsgf1h9j1","d3nd8b368i--1dqegsgf1h9j1","DocumentaryFormType","comparution",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8b42sa-2vo6rr7qrxfh","d3nd8b42sa-2vo6rr7qrxfh","DocumentaryFormType","compte",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8b4ywk-y3cj65e4cs22","d3nd8b4ywk-y3cj65e4cs22","DocumentaryFormType","compte administratif",,"Finances locales : compte établi en fin d'exercice, retraçant les mouvements effectifs de dépenses et de recettes de la collectivité, par le président de l'assemblée délibérante (INSEE).",,"documentaryFormType/FRAN_RI_001-d3nd8b42sa-2vo6rr7qrxfh","compte",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8b5v0t--1nmsgc3k8tunk","d3nd8b5v0t--1nmsgc3k8tunk","DocumentaryFormType","compte d'exécution testamentaire",,,,"documentaryFormType/FRAN_RI_001-d3nd8b42sa-2vo6rr7qrxfh","compte",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8b6rkl--1pb1om5b2zaqu","d3nd8b6rkl--1pb1om5b2zaqu","DocumentaryFormType","compte de gestion",,"Finances locales : compte établi par le comptable public, retraçant les débits et les crédits de la collectivité.",,"documentaryFormType/FRAN_RI_001-d3nd8b42sa-2vo6rr7qrxfh","compte",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8b7o4d--hng40wumuywm","d3nd8b7o4d--hng40wumuywm","DocumentaryFormType","compte de résultat","compte d'exploitation","Sociétés et associations : liste de toutes les recettes encaissées et de toutes les dépenses consommées sur une période de généralement 12 mois.",,"documentaryFormType/FRAN_RI_001-d3nd8b42sa-2vo6rr7qrxfh","compte",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8b8lyq--xe6wjcf38tck","d3nd8b8lyq--xe6wjcf38tck","DocumentaryFormType","compte de tutelle",,,,"documentaryFormType/FRAN_RI_001-d3nd8b42sa-2vo6rr7qrxfh","compte",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8b9iii-j62nzxz3kbxi","d3nd8b9iii-j62nzxz3kbxi","DocumentaryFormType","compte financier",,,,"documentaryFormType/FRAN_RI_001-d3nd8b42sa-2vo6rr7qrxfh","compte",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8bae78-1sgv3dojeymw1","d3nd8bae78-1sgv3dojeymw1","DocumentaryFormType","compte-rendu",,,,,,,"documentaryFormType/FRAN_RI_001-d3nd8enb7k-1qnyt9apv8kp | documentaryFormType/FRAN_RI_001-d3nd8ef4bo-p1s4bb3ribhy | documentaryFormType/FRAN_RI_001-d3nd8dv9j1-1wzteoks8ncyf",,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8bbaj9-1n5zjfal1y6o0","d3nd8bbaj9-1n5zjfal1y6o0","DocumentaryFormType","compte-rendu de séance",,,,"documentaryFormType/FRAN_RI_001-d3nd8bae78-1sgv3dojeymw1","compte-rendu",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8bc6va-220mbs6oh245","d3nd8bc6va-220mbs6oh245","DocumentaryFormType","compte-rendu interministériel","bleu de Matignon",,,"documentaryFormType/FRAN_RI_001-d3nd8bae78-1sgv3dojeymw1","compte-rendu",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8bd2c9-e47vue9hkip7","d3nd8bd2c9-e47vue9hkip7","DocumentaryFormType","constitution de rente","tontine",,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8bffx1--ohw07a50f03g","d3nd8bffx1--ohw07a50f03g","DocumentaryFormType","contrat",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8bgd43-1oyb50e7d0dxd","d3nd8bgd43-1oyb50e7d0dxd","DocumentaryFormType","contrat d'apprentissage",,,,"documentaryFormType/FRAN_RI_001-d3nd8bffx1--ohw07a50f03g","contrat",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8bh85k-zoce6yspjkhr","d3nd8bh85k-zoce6yspjkhr","DocumentaryFormType","contrat de mariage",,,,"documentaryFormType/FRAN_RI_001-d3nd8bffx1--ohw07a50f03g","contrat",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3m00w7r99q-o99xkn05llek","d3m00w7r99q-o99xkn05llek","DocumentaryFormType","contrat de travail",,,,"documentaryFormType/FRAN_RI_001-d3nd8bffx1--ohw07a50f03g","contrat",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8biyg8--qf7axzw7kjv1","d3nd8biyg8--qf7axzw7kjv1","DocumentaryFormType","convention",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8bjtpg--fuudgtkg2jxu","d3nd8bjtpg--fuudgtkg2jxu","DocumentaryFormType","convention collective",,"Code du travail art. L 2221-1 et 2221-2. Terme employé également dans le référentiel Matières.",,"documentaryFormType/FRAN_RI_001-d3nd8biyg8--qf7axzw7kjv1","convention",,"documentaryFormType/FRAN_RI_001-d699mmxork4-13sopuexhsw4",,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8bkoqx--18erurunaprvj","d3nd8bkoqx--18erurunaprvj","DocumentaryFormType","copie (examen et concours)",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8f57au--l5s3tydjspv5","d3nd8f57au--l5s3tydjspv5","DocumentaryFormType","coupure de presse",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3m00w8afrf-wptpfph9phjw","d3m00w8afrf-wptpfph9phjw","DocumentaryFormType","courrier parlementaire",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8bnaqc--1wogdqudkmylk","d3nd8bnaqc--1wogdqudkmylk","DocumentaryFormType","curriculum vitae","CV",,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8bo5rt--zhln30nlkxwn","d3nd8bo5rt--zhln30nlkxwn","DocumentaryFormType","décharge",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8bp18s--llgw37gz8dup","d3nd8bp18s--llgw37gz8dup","DocumentaryFormType","décision","arbitrage","Préciser de quelle autorité émane la décision reviendrait à créer un champ trop restrictif. C'est pourquoi il est préférable de ne faire figurer ici que le terme générique.",,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d5b8d41rfo-vw0uchq207nu","d5b8d41rfo-vw0uchq207nu","DocumentaryFormType","décision de justice","décision juridictionnelle | jugement | minute juridictionnelle | ordonnance juridictionnelle | sentence",,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8dama2--lppp3o1hmxyn","d3nd8dama2--lppp3o1hmxyn","DocumentaryFormType","décision de paiement","ordonnancement","19ème siècle.",,"documentaryFormType/FRAN_RI_001-d3nd8d9t6g--15b2xaj9jrcis","pièce comptable",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8bq6ez-1daxfsx19z37l","d3nd8bq6ez-1daxfsx19z37l","DocumentaryFormType","déclaration","déposition | soumission",,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8br23p-1mttyh3fzcdtb","d3nd8br23p-1mttyh3fzcdtb","DocumentaryFormType","déclaration d'utilité publique",,,,"documentaryFormType/FRAN_RI_001-d3nd8bq6ez-1daxfsx19z37l","déclaration",,,,,,,,
"documentaryFormType/FRAN_RI_001-d5b8d40zmm--17yo450mcyfxx","d5b8d40zmm--17yo450mcyfxx","DocumentaryFormType","déclaration féodale","reconnaissances seigneuriales | foi et hommage | aveu et dénombrement","liste d'autorité archives locales : édition 2011 nouveau descripteur.",,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8btbl1-1f4ir0hueyo3t","d3nd8btbl1-1f4ir0hueyo3t","DocumentaryFormType","déclaration fiscale","déclaration de succession | déclaration de revenus | déclaration de douane",,,"documentaryFormType/FRAN_RI_001-d3nd8bq6ez-1daxfsx19z37l","déclaration",,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8bu6u9--mvcoswza7lg8","d3nd8bu6u9--mvcoswza7lg8","DocumentaryFormType","décret","décret d'application",,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8bv05n-qt4ad5kscmt","d3nd8bv05n-qt4ad5kscmt","DocumentaryFormType","délibération","direction","direction : régie que des créanciers font, par le moyen de syndic ou directeur, des biens qui leur ont été abandonnés par leur débiteur (dictionnaire de l'Académie française, 6è éd., 1835).",,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8bvtwj-12zl8fa6bkzyy","d3nd8bvtwj-12zl8fa6bkzyy","DocumentaryFormType","délivrance de legs",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3m00w80war-dx43pzarix9f","d3m00w80war-dx43pzarix9f","DocumentaryFormType","dépôt d'argent","apport",,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8bwnv7-ot62i2ixeny3","d3nd8bwnv7-ot62i2ixeny3","DocumentaryFormType","dépôt de pièces",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8dbflg-15uovbijc0oz","d3nd8dbflg-15uovbijc0oz","DocumentaryFormType","devis",,,,"documentaryFormType/FRAN_RI_001-d3nd8d9t6g--15b2xaj9jrcis","pièce comptable",,,,,,,,
"documentaryFormType/FRAN_RI_001-d5b8d4532k--1gep98bytvea4","d5b8d4532k--1gep98bytvea4","DocumentaryFormType","dictionnaire",,"liste d'autorité archives locales : édition 2011 nouveau descripteur.",,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8bxhm4-3r2dxdm3wy4n","d3nd8bxhm4-3r2dxdm3wy4n","DocumentaryFormType","diplôme",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8byaxh-1kirf75swf2zk","d3nd8byaxh-1kirf75swf2zk","DocumentaryFormType","directive européenne",,,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d3nd8bz4w5-12bpj56h7m3xw","d3nd8bz4w5-12bpj56h7m3xw","DocumentaryFormType","discours","allocution",,,,,,,,,,,,
"documentaryFormType/FRAN_RI_001-d699mmwtm0y-1c9x716tm2v76","d699mmwtm0y-1c9x716tm2v76","DocumentaryFormType","document cartographique","carte",,,"documentaryFormType/FRAN_RI_001-d5b8d3ez8c-mlmlps3dtnb6","document graphique",,,,,,,,
