"URI (segment de base https://rdf.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"recordSetType/FRAN_RI_001-d-3otdtbv3w--1itrtwiw8cnmm","d-3otdtbv3w--1itrtwiw8cnmm","RecordSetType","dossier de première instance",,"Dossier déposé dans le cadre d’une action poursuivie devant le juge du premier degré",,,,,,,,,,,
"recordSetType/FRAN_RI_001-d3nd8cezwr--157ia7fdkjhx3","d3nd8cezwr--157ia7fdkjhx3","RecordSetType","dossier de presse",,"Au sens de dossier constitué à l’attention de la presse.",,,,,,,,,,,
"recordSetType/FRAN_RI_001-d3nd8cfuay--1quefl6bhk6ul","d3nd8cfuay--1quefl6bhk6ul","RecordSetType","dossier de procédure judiciaire",,,,,,,,,,,,,
"recordSetType/FRAN_RI_001-d5b8d3hlfj--ekwb2m3tdgx5","d5b8d3hlfj--ekwb2m3tdgx5","RecordSetType","dossier de scolarité","dossier d’élève | dossier d’étudiant",,,"recordSetType/FRAN_RI_001-d3nd8cjyto-q7qr9ug1zqo4","dossier individuel",,,,,,,,
"recordSetType/FRAN_RI_001-d3nd8cibre-kscf8yk8onpp","d3nd8cibre-kscf8yk8onpp","RecordSetType","dossier de séance","document de séance",,,,,,,,,,,,
"recordSetType/FRAN_RI_001-d3nd8dotdd--4l0yvjtye2r2","d3nd8dotdd--4l0yvjtye2r2","RecordSetType","dossier des ouvrages exécutés",,,,"recordSetType/FRAN_RI_001-d3nd8dlkjd--1kmymitgwuigp","marché public",,,,,,,,
"recordSetType/FRAN_RI_001-d3nd8cj5ib-dc6iwifilmf9","d3nd8cj5ib-dc6iwifilmf9","RecordSetType","dossier de subvention",,,,,,,,,,,,,
"recordSetType/FRAN_RI_001-d3nd8cbo9w-jdw4s47a0lci","d3nd8cbo9w-jdw4s47a0lci","RecordSetType","dossier d’agrément","dossier d’habilitation","Terme plutôt utilisé en droit administratif. Il désigne l’accord donné par une autorité à la nomination d’une personne ou à l’exécution d’un projet nécessitant son autorisation ou son avis préalable. Agrément a le même sens qu’habilitation. (S. Braudo, dictionnaire du droit privé. dictionnaire-juridique.com)",,,,,,,,,,,
"recordSetType/FRAN_RI_001-d3nd8cci0s-1bqyyf13o9pme","d3nd8cci0s-1bqyyf13o9pme","RecordSetType","dossier d’homologation",,"Procédure administrative de reconnaissance de la conformité d’un produit à un ensemble de critères techniques.",,,,,,,,,,,
"recordSetType/FRAN_RI_001-d3nd8cjyto-q7qr9ug1zqo4","d3nd8cjyto-q7qr9ug1zqo4","RecordSetType","dossier individuel",,"Ne pas utiliser pour les dossiers de carrière.",,,,,,,,,,"https://rdf.archives-nationales.culture.gouv.fr/documentaryFormType/FRAN_RI_001-d3nd8cvghe-1kylp0q3gbg04",
"recordSetType/FRAN_RI_001-d3nd8cn960--1qszbt7djfspk","d3nd8cn960--1qszbt7djfspk","RecordSetType","dossier médical",,,,"recordSetType/FRAN_RI_001-d3nd8cjyto-q7qr9ug1zqo4","dossier individuel",,,,,,,,
"recordSetType/FRAN_RI_001-d3nd8cow8a--zabuie4r0n54","d3nd8cow8a--zabuie4r0n54","RecordSetType","dossier technique",,,,,,,,,,,,,
"recordSetType/FRAN_RI_001-d3nd8cw9ss--1lp7knf1ldpoh","d3nd8cw9ss--1lp7knf1ldpoh","RecordSetType","fichier",,,,,,,,,,,,"https://rdf.archives-nationales.culture.gouv.fr/documentaryFormType/FRAN_RI_001-d3nd8cun60--uh9evbx7ph8h",
"recordSetType/FRAN_RI_001-d3nd8dlkjd--1kmymitgwuigp","d3nd8dlkjd--1kmymitgwuigp","RecordSetType","marché public",,,,,,,,,,,,,
"recordSetType/FRAN_RI_001-d3nd8f4djy--8fa0xkc87we9","d3nd8f4djy--8fa0xkc87we9","RecordSetType","revue de presse","panorama de presse",,,,,,,,,,,,
