"URI (segment de base http://data.archives-nationales.culture.gouv.fr/","Identifiant du concept dans la version du référentiel interne au SIA","Nom de la classe RiC-O d’appartenance","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Définition (skos:definition)","Note sur la portée (skos:scopeNote)","Identifiant du concept générique (skos:broader)","Dénomination du concept générique","Exemples","Concepts associés (skos:related)","Concepts équivalents dans autres thésaurus (skos:exactMatch)","Concepts proches dans autres thésaurus (skos:closeMatch)","Concepts spécifiques dans autres thésaurus (skos:narrowMatch)","Concepts génériques dans autres thésaurus (skos:broadMatch)","Concepts associés dans autres thésaurus (skos:relatedMatch)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"recordState/FRAN_RI_001-d-8l7sr97nk-dbrollg6e657","d-8l7sr97nk-dbrollg6e657","RecordState","copie informe",,"« Une copie informe est une copie d'un document, ne comportant aucune marque d'authenticité juridique apposée par une autorité. Établie par un érudit qualifié, une copie informe peut évidemment présenter une qualité de texte que n'offre pas toujours une copie authentique qui serait dressée par une autorité plus ou moins compétente dans la lecture ou la critique des documents. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 32.)",,"recordState/FRAN_RI_001-d-8k77oqc4c-1war2n2wabgsr","copie",,,"http://www.cei.lmu.de/VID/#VID_55",,,,,"2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [19/07/2024]"
"recordState/FRAN_RI_001-d-8t3d5vx80--13q42ggc3d3tv","d-8t3d5vx80--13q42ggc3d3tv","RecordState","copie insérée",,"« La copie insérée (lat.: insertum), au sens technique du terme, est la transcription d'une acte antérieur, visant à éclairer, à compléter, à donner pleine valeur juridique à l'acte dans lequel il se trouve transcrit. Ainsi peuvent être insérés les pouvoirs de procureurs ou mandataires intervenant à la demande de l'une ou de l'autre des parties, les commissions délivrées à des commissaires, des certificats de toute nature portant sur l'habileté juridique des contractants ou attestant leurs droits sur la chose, ou encore des titres antérieurs etc. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 34.)",,"recordState/FRAN_RI_001-d-8k77oqc4c-1war2n2wabgsr","copie",,,"http://www.cei.lmu.de/VID/#VID_66",,,,,"2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [19/07/2024]"
"recordState/FRAN_RI_001-d-98yheu10c--1dhxakzzoeqts","d-98yheu10c--1dhxakzzoeqts","RecordState","copie judiciaire",,"« Une copie judiciaire est une copie dressée sur l'ordre d'un juge et (ou) pourvue d'un certificat d'authenticité de celui-ci. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 33.)",,"recordState/FRAN_RI_001-d3m00w6tom1--17yz38y8bszt8","copie authentique",,,"http://www.cei.lmu.de/VID/#VID_60",,,,,"2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [19/07/2024]"
"recordState/FRAN_RI_001-d-8tx8o7th0--ksmkod8w8asj","d-8tx8o7th0--ksmkod8w8asj","RecordState","copie libre",,"« Une copie libre est, dans les pays qui connaissent ou ont connu une administration fiscale du Timbre, une copie établie sur un papier ou un parchemin “libre”, c'est-à-dire non timbré. Elle s'oppose à une copie sur papier timbré. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 34.)",,"recordState/FRAN_RI_001-d-8k77oqc4c-1war2n2wabgsr","copie",,,"http://www.cei.lmu.de/VID/#VID_64",,,,,"2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [19/07/2024]"
"recordState/FRAN_RI_001-d-99t1j5n3c--1obbuv2ji4yy2","d-99t1j5n3c--1obbuv2ji4yy2","RecordState","copie notariée",,"« Une copie notariée est une copie qui comporte un certificat d'authenticité de la main d'un ou de plusieurs notaires. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 33.)",,"recordState/FRAN_RI_001-d3m00w6tom1--17yz38y8bszt8","copie authentique",,,"http://www.cei.lmu.de/VID/#VID_59",,,,,"2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [19/07/2024]"
"recordState/FRAN_RI_001-d-9ag71ol70-l5bgs9hqcofr","d-9ag71ol70-l5bgs9hqcofr","RecordState","copie sous le sceau",,"« Une copie sous le sceau est une copie dont l’authenticité est attestée par l'apposition du sceau d'une autorité. En Angleterre, cette pratique est dite exemplification. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 33.)",,"recordState/FRAN_RI_001-d3m00w6tom1--17yz38y8bszt8","copie authentique",,,"http://www.cei.lmu.de/VID/#VID_61",,,,,"2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [19/07/2024]"
"recordState/FRAN_RI_001-d-9c14mgab0-z8mie52bzecy","d-9c14mgab0-z8mie52bzecy","RecordState","duplicata",,"« Les duplicata furent, d'abord, des originaux multiples. Par la suite, ce sont des exemplaires reproduisant exactement l'original dressé par la chancellerie même ou le bureau d'écriture et destiné à tenir lieu de cet original. Si plusieurs duplicata sont ainsi établis, on les dit triplícala ou, éventuellement, multiplicata. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 31.)",,,,,,"http://www.cei.lmu.de/VID/#VID_45",,,,,"2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [19/07/2024]"
"recordState/FRAN_RI_001-d-2k426mipg--o7n1lnwbqn9d","d-2k426mipg--o7n1lnwbqn9d","RecordState","expédition",,"« L'expédition d'un acte est soit l'original lui-même, soit l'exemplaire mis en forme (grossoyé) par la chancellerie ou le bureau d'écriture, destiné - dans l'un et l'autre cas - à être remis à la partie intéressée, qui généralement le conserve à titre de preuve. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 31.)",,,,,"recordState/FRAN_RI_001-d3m00w6tom1--17yz38y8bszt8","http://www.cei.lmu.de/VID/#VID_46",,,,,"31/07/2024 : ajouté par le Lab le [31/07/2024]"
"recordState/FRAN_RI_001-d-9gwynw27k--10mwh2owqrqdi","d-9gwynw27k--10mwh2owqrqdi","RecordState","extrait authentique",,"« Un extrait authentique est une expédition partielle d'un acte faite par une autorité habile à la délivrer. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 90.)",,"recordState/FRAN_RI_001-d3m00w8d8du-pzakwhqg5tcm","extrait d'acte",,"recordState/FRAN_RI_001-d3m00w6tom1--17yz38y8bszt8","http://www.cei.lmu.de/VID/#VID_364",,,,,"2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [19/07/2024]"
"recordState/FRAN_RI_001-d3m00w8d8du-pzakwhqg5tcm","d3m00w8d8du-pzakwhqg5tcm","RecordState","extrait d'acte",,"« Un extrait est une copie textuelle de certains éléments d'un document. S'il porte une marque d'authenticité, on le dit authentique. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 38.)",,,,,,"http://www.cei.lmu.de/VID/#VID_87",,,,,"2024 : définition préparée par J.-F. Moufflet [2024] ; modifié par le Lab le [19/07/2024]"
"recordState/FRAN_RI_001-d-60xqn2has--17fino3q6vkd2","d-60xqn2has--17fino3q6vkd2","RecordState","minute",,"« La minute peut, au Bas Moyen Age, être définie comme la première rédaction d'un acte, dont le texte est établi ""ne varietur"" de telle façon qu'il puisse servir de matrice à l'expédition de l'acte et à d'éventuelles réexpéditions. Elle est généralement allégée des formules de style et peut ne comporter qu'une simple indication de la présence de clauses qui figureront au long sur l'expédition. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 88.)",,,,,,"http://www.cei.lmu.de/VID/#VID_353",,,,"http://data.archives-nationales.culture.gouv.fr/documentaryFormType/FRAN_RI_001-d3nd89r14z-1fb7upmwc7u9n","2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [31/07/2024]"
"recordState/FRAN_RI_001-d-64b7ejzp4-1ec7ktnhrg2j","d-64b7ejzp4-1ec7ktnhrg2j","RecordState","minute originale",,"« Une minute originale est la rédaction définitive d'un acte –comportant éventuellement toutes les corrections ou modifications de texte – qui constitue la matrice d'où l'on peut tirer des expéditions et qui se conserve dans les archives de son auteur. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 39.)",,"recordState/FRAN_RI_001-d-60xqn2has--17fino3q6vkd2","minute",,"recordState/FRAN_RI_001-d-9j5dy8s0o--1u0p8mem64d5i","http://www.cei.lmu.de/VID/#VID_98",,,,,"2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [31/07/2024]"
"recordState/FRAN_RI_001-d-9j5dy8s0o--1u0p8mem64d5i","d-9j5dy8s0o--1u0p8mem64d5i","RecordState","original",,"« L'original (lat: originale ; dans des documents médiévaux et chez des auteurs anciens, parfois exemplar ou autographum) est le document primitif où est consignée pour la première fois sous sa forme définitive la volonté de l'auteur de l'acte et qui est destiné à faire foi. C'est donc l'acte parfait qui est, soit revêtu des marques de validation, soit dressé dans des conditions d'authenticité qui lui permettent de faire foi par lui-même. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 30.)",,,,,"recordState/FRAN_RI_001-d-64b7ejzp4-1ec7ktnhrg2j","http://www.cei.lmu.de/VID/#VID_42",,,,,"2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [19/07/2024]"
"recordState/FRAN_RI_001-d-9k5tdaqbw-1q4a9hjowdxpn","d-9k5tdaqbw-1q4a9hjowdxpn","RecordState","originaux multiples",,"« Les originaux multiples sont des exemplaires d'un même acte dressés simultanément, ou bien pour être remis aux diverses parties intéressées, ou bien pour en assurer la conservation. La multiplication des exemplaires peut aussi être faite par un service d'écriture, afin de les transmettre par des voies différentes au destinataire dès lors qu'il y a danger qu'un exemplaire unique puisse se perdre ou bien, en cas de guerre, qu'il vienne à être intercepté. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 30.)",,,,,,"http://www.cei.lmu.de/VID/#VID_43",,,,,"2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [19/07/2024]"
"recordState/FRAN_RI_001-d-9x8mc47lo-xpvj9ptlr334","d-9x8mc47lo-xpvj9ptlr334","RecordState","projet d'acte",,"« Un projet d'acte est une première rédaction destinée, avant toute décision à son sujet, à être soumise pour avis ou pour étude à une autorité, à un ayant droit ou à des personnes compétentes, et susceptibles de tous les amendements. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 88.)",,,,,,"http://www.cei.lmu.de/VID/#VID_352",,,,,"2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [19/07/2024]"
"recordState/FRAN_RI_001-d-9oxibeb3c--16hvck1r0czmr","d-9oxibeb3c--16hvck1r0czmr","RecordState","pseudo-copie",,"« Une pseudo-copie est un acte qui se présente comme une copie, soit indépendante, soit incorporée dans un autre acte (vidimus par exemple), soit encore sous la forme d'une édition, mais dont l'existence n'a pas de réalité. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 43.)",,,,,,"http://www.cei.lmu.de/VID/#VID_118",,,,,"2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [19/07/2024]"
"recordState/FRAN_RI_001-d-9s35wkq84--1stqkyj0x2wvk","d-9s35wkq84--1stqkyj0x2wvk","RecordState","pseudo-original",,"« Un pseudo-original est un acte faux qui se présente avec toutes les apparences d'un original, y compris des marques de validation. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 43.)",,,,,,"http://www.cei.lmu.de/VID/#VID_117",,,,,"2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [19/07/2024]"
"recordState/FRAN_RI_001-d-2k9q1mtvk-msa3c8uc0tqi","d-2k9q1mtvk-msa3c8uc0tqi","RecordState","réexpédition",,"« Une réexpédition (ou seconde expédition) d’un acte est un nouvel exemplaire de cet acte, établi subséquemment et dans les mêmes formes que la première expédition. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 31.)",,"recordState/FRAN_RI_001-d-2k426mipg--o7n1lnwbqn9d","expédition","Deuxième bulle d’Innocent IV Quotiens pro communi qui approuve les statuts de l’Université de Paris. cote M//65/A, n° 2 (record/032408/c-42z60pvde--1qz2ibgsexpbn)",,"http://www.cei.lmu.de/VID/#VID_47",,,,,"2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [31/07/2024]"
"recordState/FRAN_RI_001-d-2ohlxtgj4-1hjq3ru3j7j3s","d-2ohlxtgj4-1hjq3ru3j7j3s","RecordState","rénovation",,"« La rénovation d'un acte est le renouvellement de cet acte, établi par son auteur (ou sa chancellerie) à la demande de la partie intéressée pour lui tenir lieu d'une expédition perdue ou pour lui permettre de disposer d'un autre exemplaire. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 31.)",,,,,,"http://www.cei.lmu.de/VID/#VID_48",,,,,"2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [31/07/2024]"
"recordState/FRAN_RI_001-d-2p6rcoolo--ab4uj2xpl9bj","d-2p6rcoolo--ab4uj2xpl9bj","RecordState","transcription",,"« Une transcription est à la fois l'action de transcrire et le résultat de cette opération. Transcrire est reporter un texte d'une pièce sur une autre, par exemple la minute sur l'expédition, ou bien la minute ou l'expédition sur un registre. » (source : Vocabulaire international de diplomatique, 2e éd., 1997, p. 32.)",,,,,,"http://www.cei.lmu.de/VID/#VID_52",,,,,"2024 : préparé par J.-F. Moufflet [2024] ; ajouté par le Lab le [31/07/2024]"
