"URI (segment de base  http://data.archives-nationales.culture.gouv.fr/","Identifiant du lieu dans la version du référentiel interne au SIA (RI_005)","Dénomination préférée (skos:prefLabel)","Dénominations alternatives (skos:altLabel)","Type de lieu (rico:hasOrHadPlaceType)","Description (rico:descriptiveNote)","Nom et id du lieu dans lequel le lieu-dit est situé","Lieux équivalents dans d’autres référentiels (owl:sameAs)","Notes sur les modifications effectuées pour ce concept (skos:changeNote)"
"place/FRAN_RI_005-d3m08yr5o7y--g0mng3f02fjq","d3m08yr5o7y--g0mng3f02fjq","Auchy (Seine-Maritime, abbaye d')",,"aménagement ou construction",,"Seine-Maritime (Haute-Normandie, département) [d3ntb8svpl-1sgeqirhtkz5g]",,
"place/FRAN_RI_005-d5bdpklq77--1a4rirn4ncm2j","d5bdpklq77--1a4rirn4ncm2j","Auschwitz (Pologne, camp)",,"aménagement ou construction",,"Pologne [d3ntxle8f4--7cm271muwi1d]",,
"place/FRAN_RI_005-d3m08yojp37--30epgv894i36","d3m08yojp37--30epgv894i36","Avenay (Marne, abbaye d')",,"aménagement ou construction",,"Marne (Champagne-Ardenne, département) [d3ntb8850g-1p10efjw2vyw3]",,
"place/FRAN_RI_005-d3m08z75k0b--oi05j3f4dm0x","d3m08z75k0b--oi05j3f4dm0x","Azay-le-Rideau (Indre-et-Loire, château d')",,"aménagement ou construction",,"Indre-et-Loire (Centre, département) [d3ntb7z81l--133orriip2258]",,
"place/FRAN_RI_005-d3m08ytsd3p--hckeuy654m8g","d3m08ytsd3p--hckeuy654m8g","Bagnolet (Seine-Saint-Denis, château de)",,"aménagement ou construction",,"Seine-Saint-Denis (Ile-de-France, département) [d3ntb8t74v--1wxzypxi8r7lm]",,
"place/FRAN_RI_005-d3m08zxzs2q-1sl8quzjz4tff","d3m08zxzs2q-1sl8quzjz4tff","Ballue (Ille-et-Vilaine, château de la)",,"aménagement ou construction",,"Ille-et-Vilaine (Bretagne, département) [d3ntb7ykjq--tck4tl4rnvai]",,
"place/FRAN_RI_005-d3m08zyguwi-1tjijjakqm7x5","d3m08zyguwi-1tjijjakqm7x5","Barbeau (Seine-et-Marne, abbaye de)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d3m08ypo5qj--1403g439iwqkk","d3m08ypo5qj--1403g439iwqkk","Barre (Seine-et-Marne, château de la)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d-1g85e4q88--1dt4ywffcrc53","d-1g85e4q88--1dt4ywffcrc53","Bataville (Moussey ; parc industriel)",,"parc industriel","Bataville est le nom donné à un ensemble industriel et urbain en Moselle dans la région Lorraine (France), reconnu monument historique et patrimoine protégé depuis 2014. Unique en France, Bataville s'insère dans une série d'une trentaine de cités Bata au monde. (Source : https://fr.wikipedia.org/wiki/Bataville )","Moussey (Moselle) [d3ntmwonlp-sd4lbr57tr2s]","http://www.wikidata.org/entity/Q2891083","27/04/2020 : Lieu ajouté le [27/04/2020]"
"place/FRAN_RI_005-d-1g85e4upc--12qxjy2oa88m1","d-1g85e4upc--12qxjy2oa88m1","Baville, château de (Essonne ; château)",,"château","Le château de Baville est un château français de style Louis XIII situé sur les communes de Saint-Chéron (le château, ses dépendances et ses deux parcs), une partie de l'enclos s'étend sur Breuillet et Breux-Jouy ( « bois du Boulay », partie nord-est du second parc) dans le département de l'Essonne et la région d'Île-de-France. (Source : https://fr.wikipedia.org/wiki/Ch%C3%A2teau_de_Baville)","Essonne (Ile-de-France, département) [d3ntb7nvrw--x5v56woc2tqj]","http://www.wikidata.org/entity/Q2968451","27/04/2020 : Lieu ajouté le [27/04/2020]"
"place/FRAN_RI_005-d3m08yn7jj3-a5gfcpbiui3a","d3m08yn7jj3-a5gfcpbiui3a","Beaubourg (Seine-et-Marne, château de)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d3m08ysqd6x-dvt0t9ztgjgq","d3m08ysqd6x-dvt0t9ztgjgq","Beauport (Côtes-d'Armor, abbaye de)",,"aménagement ou construction",,"Côtes-d'Armor (Bretagne, département) [d3ntb7hqlz-1wtyohr4yjr84]",,
"place/FRAN_RI_005-d3m08z6bfcg-mu5plc1621vb","d3m08z6bfcg-mu5plc1621vb","Beaupré (Nord, abbaye de)",,"aménagement ou construction",,"Nord (Nord-Pas-de-Calais, département) [d3ntb8eunk--t1uxigkbqayp]",,
"place/FRAN_RI_005-d3m08zc2ouu-1ux4sygkfxojt","d3m08zc2ouu-1ux4sygkfxojt","Beauregard (Loir-et-Cher, château de)",,"aménagement ou construction",,"Loir-et-Cher (Centre, département) [d3ntb83v3p-nt9a6swe87fm]",,
"place/FRAN_RI_005-d3m08z6x84e-1mu6kzsdym7n","d3m08z6x84e-1mu6kzsdym7n","Beauregard (Yvelines, château de)",,"aménagement ou construction",,"Yvelines (Ile-de-France, département) [d3ntb91vp2-1x0gbusmn6zj4]",,
"place/FRAN_RI_005-d3m0901aeze-7u7x4je6upor","d3m0901aeze-7u7x4je6upor","Beauté (Val-de-Marne, château de)",,"aménagement ou construction",,"Val-de-Marne (Ile-de-France, département) [d3ntb8yzd6-1a3vkw5xig8h2]",,
"place/FRAN_RI_005-d3m08ymp94k-1bgpajuzfhy5k","d3m08ymp94k-1bgpajuzfhy5k","Bellaigues (Puy-de-Dôme, abbaye de)",,"aménagement ou construction",,"Puy-de-Dôme (Auvergne, département) [d3ntb8jcjf--14j38x9l75uuq]",,
"place/FRAN_RI_005-d3m08z3bd51--1nq9ozgadf5aw","d3m08z3bd51--1nq9ozgadf5aw","Belle-Assise (Seine-et-Marne, château de)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d3m08zqf0o8-j0yd8rnrt7ci","d3m08zqf0o8-j0yd8rnrt7ci","Bellebranche (Mayenne, abbaye de)",,"aménagement ou construction",,"Mayenne (Pays-de-la-Loire, département) [d3ntb88sib--n92aramgtvqs]",,
"place/FRAN_RI_005-d3m08zs9nda-1xgs6009w1cf9","d3m08zs9nda-1xgs6009w1cf9","Belleperche (Tarn-et-Garonne, abbaye de)",,"aménagement ou construction",,"Tarn-et-Garonne (Midi-Pyrénées, département) [d3ntb8vgm7--7hpct8y90uft]",,
"place/FRAN_RI_005-d3m08zvc3jg-16o0s8otpu15w","d3m08zvc3jg-16o0s8otpu15w","Bellozanne (Seine-Maritime, abbaye de)",,"aménagement ou construction",,"Seine-Maritime (Haute-Normandie, département) [d3ntb8svpl-1sgeqirhtkz5g]",,
"place/FRAN_RI_005-d3m08zj0hhp--14grgxtyf05c9","d3m08zj0hhp--14grgxtyf05c9","Berny (Val-de-Marne, château de)",,"aménagement ou construction",,"Val-de-Marne (Ile-de-France, département) [d3ntb8yzd6-1a3vkw5xig8h2]",,
"place/FRAN_RI_005-d-9heyyvq2a-lhfq41aslxxh","d-9heyyvq2a-lhfq41aslxxh","Berry, canal du (France ; canal)",,"canal","Le canal de Berry (d'abord « canal du Cher », puis « canal du duc de Berry » avant de prendre en 1830 son nom actuel) avait une longueur de 320 km. Réalisé entre 1808 et 1840, il a été utilisé jusqu'en 1945 puis a été déclassé et aliéné en 1955. Source : https://fr.wikipedia.org/wiki/Canal_de_Berry )","France [d3ntxkl6yf-1f01iiij7xnld]","http://www.wikidata.org/entity/Q905682",
"place/FRAN_RI_005-d3m08z4fw5y--zvlxgl505fug","d3m08z4fw5y--zvlxgl505fug","Béthune (Cher, château de)",,"aménagement ou construction",,"Cher (Centre, département) [d3ntb7g2gw--4rv27gfdzgqg]",,
"place/FRAN_RI_005-d3m08ysjjku-133qf47dv9n2b","d3m08ysjjku-133qf47dv9n2b","Bicêtre (Val-de-Marne, château de)",,"aménagement ou construction",,"Val-de-Marne (Ile-de-France, département) [d3ntb8yzd6-1a3vkw5xig8h2]",,
"place/FRAN_RI_005-d3m08z37mg5-1rq6zicr0snan","d3m08z37mg5-1rq6zicr0snan","Bicêtre (Val-de-Marne, hôpital de)",,"aménagement ou construction",,"Val-de-Marne (Ile-de-France, département) [d3ntb8yzd6-1a3vkw5xig8h2]",,
"place/FRAN_RI_005-d3m08yqvsh6--awzal8n7xcvg","d3m08yqvsh6--awzal8n7xcvg","Bicêtre (Val-de-Marne, prison de)",,"aménagement ou construction",,"Val-de-Marne (Ile-de-France, département) [d3ntb8yzd6-1a3vkw5xig8h2]",,
"place/FRAN_RI_005-d3m08zvlozf--2k67e6v2ltyf","d3m08zvlozf--2k67e6v2ltyf","Blandy (Seine-et-Marne, château de)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d3m08zzzrp4--14q5q47x6wg4t","d3m08zzzrp4--14q5q47x6wg4t","Blérancourt (Aisne, château de)",,"aménagement ou construction",,"Aisne (Picardie, département) [d3ntb70r2g--1uw0k9ewfsj4r]",,
"place/FRAN_RI_005-d3m08z8nic6--d64jl5504fx9","d3m08z8nic6--d64jl5504fx9","Blois (Loir-et-Cher, château de)",,"aménagement ou construction",,"Loir-et-Cher (Centre, département) [d3ntb83v3p-nt9a6swe87fm]",,
"place/FRAN_RI_005-d3m08yjwira--1ni0hwwlix3ss","d3m08yjwira--1ni0hwwlix3ss","Bois-Aubry (Indre-et-Loire, abbaye de)",,"aménagement ou construction",,"Indre-et-Loire (Centre, département) [d3ntb7z81l--133orriip2258]",,
"place/FRAN_RI_005-d3m08zykawc--11pq2h5ilatzh","d3m08zykawc--11pq2h5ilatzh","Bois-le-Vicomte (Seine-et-Marne, château de)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d-8ku2vs00a--1qr65mse1egd1","d-8ku2vs00a--1qr65mse1egd1","Bonhomme, pont du (Kervignac ; pont)",,"pont","Le pont du Bonhomme est situé dans la région de Lorient, en France. Il relie les villes de Kervignac et de Lanester en franchissant le Blavet et remplace un bac utilisé depuis le xviie siècle. Son emplacement à l'entrée de la vallée est choisi de façon à permettre aux bateaux à voile de continuer à desservir la commune d'Hennebont située en amont. (Source : https://fr.wikipedia.org/wiki/Pont_du_Bonhomme)","Kervignac (Morbihan) [d3ntlgzkwn-fpcj5vg9iffp]","http://www.wikidata.org/entity/Q3397418","13/08/2020 : Lieu ajouté le [13/08/2020]"
"place/FRAN_RI_005-d3m08zdi03y-1rdgmevvfwzdy","d3m08zdi03y-1rdgmevvfwzdy","Bonlieu (Sarthe, abbaye de)",,"aménagement ou construction",,"Sarthe (Pays-de-la-Loire, département) [d3ntb8ps1u-1d4qaxfwhbf8n]",,
"place/FRAN_RI_005-d3m08ysqvey--1rgb5lvw6czzx","d3m08ysqvey--1rgb5lvw6czzx","Bonport (Eure, abbaye de)",,"aménagement ou construction",,"Eure (Haute-Normandie, département) [d3ntb7o8hq-1b5fuvt2evll9]",,
"place/FRAN_RI_005-d-aawkv02fk-1j834av9u81ar","d-aawkv02fk-1j834av9u81ar","Bort-les-Orgues, barrage de (France ; barrage)",,"barrage","Le barrage de Bort-les-Orgues est un barrage en béton situé sur la Dordogne, sur les communes de Bort-les-Orgues (Corrèze) et de Lanobre (Cantal), retenant le lac homonyme. (Source : https://fr.wikipedia.org/wiki/Barrage_de_Bort-les-Orgues)","France [d3ntxkl6yf-1f01iiij7xnld] | Bort-les-Orgues (Corrèze) [d3ntewkaxi--v35flmk3ueb2]","http://www.wikidata.org/entity/Q808803",
"place/FRAN_RI_005-d3m08zx3q35--1rlbzpz1j16hm","d3m08zx3q35--1rlbzpz1j16hm","Bourdaisière (Indre-et-Loire, château de la)",,"aménagement ou construction",,"Indre-et-Loire (Centre, département) [d3ntb7z81l--133orriip2258]",,
"place/FRAN_RI_005-d3m08z3e1ek-smy88yt9mtwu","d3m08z3e1ek-smy88yt9mtwu","Bourgon (Mayenne, château de)",,"aménagement ou construction",,"Mayenne (Pays-de-la-Loire, département) [d3ntb88sib--n92aramgtvqs]",,
"place/FRAN_RI_005-d3m08yucwbk-ljpqfphl6mw","d3m08yucwbk-ljpqfphl6mw","Bourgueil (Indre-et-Loire, abbaye de)",,"aménagement ou construction",,"Indre-et-Loire (Centre, département) [d3ntb7z81l--133orriip2258]",,
"place/FRAN_RI_005-d-7353rnhm1--1q2vtbdhxupup","d-7353rnhm1--1q2vtbdhxupup","Boyard, fort (Charente-Maritime ; fortification)",,"fortification",,"Charente-Maritime (Poitou-Charentes, département) [d3ntb7f8ah--d0u6ovyjsoi0]","http://www.wikidata.org/entity/Q92089 | https://sws.geonames.org/3030657/",
"place/FRAN_RI_005-d3m08ykvno3-1x6dvazx88yo5","d3m08ykvno3-1x6dvazx88yo5","Brantôme (Dordogne, abbaye de)",,"aménagement ou construction",,"Dordogne (Aquitaine, département) [d3ntb7l0b0--1uwhs5qpi6ngo]",,
"place/FRAN_RI_005-d-8vilywod-glatntey8ifn","d-8vilywod-glatntey8ifn","Brou, abbaye de (Bourg-en-Bresse ; abbaye)",,"abbaye",,"Bourg-en-Bresse (Ain) [d3ntcnyy7x--ztjvkgdizq45]","http://www.wikidata.org/entity/Q3320413",
"place/FRAN_RI_005-d5bdpng3u4--19dz77lwbypb","d5bdpng3u4--19dz77lwbypb","Buchenwald (Allemagne, camp)",,"aménagement ou construction",,"Allemagne [d3ntxjxyl2-de3n2j7xfcc0]",,
"place/FRAN_RI_005-d-1gtuyrhgb-pam7ci9xv7ei","d-1gtuyrhgb-pam7ci9xv7ei","Busseau, viaduc de (Creuse ; viaduc)",,"aménagement ou construction","Le viaduc de Busseau se trouve à la sortie est de la gare de Busseau-sur-Creuse. Il est situé sur les communes d'Ahun et de Cressat dans le département de la Creuse. (Source : https://fr.wikipedia.org/wiki/Viaduc_de_Busseau )","Creuse (Limousin, département) [d3ntb7il7x--1vk7pyy7wolw8]","http://www.wikidata.org/entity/Q3556548",
"place/FRAN_RI_005-d-1jgsto7q5--orvif4idxqtr","d-1jgsto7q5--orvif4idxqtr","Busseau-sur-Creuse, gare de (Ahun ; gare)",,"aménagement ou construction","La gare de Busseau-sur-Creuse est une gare ferroviaire française des lignes de Montluçon à Saint-Sulpice-Laurière et de Busseau-sur-Creuse à Ussel, située sur le territoire de la commune d'Ahun dans le département de la Creuse. (Source : https://fr.wikipedia.org/wiki/Gare_de_Busseau-sur-Creuse )","Ahun (Creuse) [d3ntfvs0r9-1bc4nhxx371ev]","http://www.wikidata.org/entity/Q2357627",
"place/FRAN_RI_005-d3m08yu3qq2-10kdl9sbzzdxg","d3m08yu3qq2-10kdl9sbzzdxg","Buzay (Loire-Atlantique, abbaye de)",,"aménagement ou construction",,"Loire-Atlantique (Pays-de-la-Loire, département) [d3ntb858oj--102rd3typfz3w]",,
"place/FRAN_RI_005-d3m08zjoyj5-1mde84ycyf0kt","d3m08zjoyj5-1mde84ycyf0kt","Cangé (Indre-et-Loire, château de)",,"aménagement ou construction",,"Indre-et-Loire (Centre, département) [d3ntb7z81l--133orriip2258]",,
"place/FRAN_RI_005-d-1g85e51q4-zq6ry3ahbq42","d-1g85e51q4-zq6ry3ahbq42","Carro (Martigues ; port)",,"phare","Carro est un port de pêche situé sur une section de la côte méditerranéenne appelée Côte Bleue et qui fait partie de la commune de Martigues dans les Bouches-du-Rhône. (Source : https://fr.wikipedia.org/wiki/Carro )","Martigues (Bouches-du-Rhône) [d3nte3xnbi--1cgefc755ukty]","http://www.wikidata.org/entity/Q18385087","27/04/2020 : Lieu ajouté le [27/04/2020]"
"place/FRAN_RI_005-d3m08z22d9z--1roeqcer0knhk","d3m08z22d9z--1roeqcer0knhk","Case-Dieu (Gers, abbaye de la)",,"aménagement ou construction",,"Gers (Midi-Pyrénées, département) [d3ntb7r2ga-awwsbuqxyql]",,
"place/FRAN_RI_005-d3m09010r5u--8pkitc9fteul","d3m09010r5u--8pkitc9fteul","Cassine (Ardennes, château de la)",,"aménagement ou construction",,"Ardennes (Champagne-Ardenne, département) [d3ntb74erw--zzvf2h1n9aip]",,
"place/FRAN_RI_005-d3m08ynu96q-1wvgsmf5at9kt","d3m08ynu96q-1wvgsmf5at9kt","Celles-sur-Belle (Deux-Sèvres, abbaye de)",,"aménagement ou construction",,"Deux-Sèvres (Poitou-Charentes, département) [d3ntb7jsrh-vfhddufur92k]",,
"place/FRAN_RI_005-d3m08zffkku-1gr5q2urcynjj","d3m08zffkku-1gr5q2urcynjj","Cercamp (Pas-de-Calais, abbaye de)",,"aménagement ou construction",,"Pas-de-Calais (Nord-Pas-de-Calais, département) [d3ntb8idu2-z9ot230s6xja]",,
"place/FRAN_RI_005-d3m08zrqsrf--bb092bovwvc6","d3m08zrqsrf--bb092bovwvc6","Cerisy-la-Forêt (Manche, abbaye de)",,"aménagement ou construction",,"Manche (Basse-Normandie, département) [d3ntb87hy4--yhe8o30oxp1n]",,
"place/FRAN_RI_005-d3m08yj2g2q-1awocj8nb9m35","d3m08yj2g2q-1awocj8nb9m35","Chaalis (Oise, abbaye de)",,"aménagement ou construction",,"Oise (Picardie, département) [d3ntb8gs2c-r7m1xcm91zhq]",,
"place/FRAN_RI_005-d3m08yku30p--1jphrrfszk4xj","d3m08yku30p--1jphrrfszk4xj","Challeau (Seine-et-Marne, château de)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d3m08zhb8ih--1jtlyhi1ltwpr","d3m08zhb8ih--1jtlyhi1ltwpr","Chambord (Loir-et-Cher, château de)",,"aménagement ou construction",,"Loir-et-Cher (Centre, département) [d3ntb83v3p-nt9a6swe87fm]",,
"place/FRAN_RI_005-d3m08zanzsc--18ccj95btq9zo","d3m08zanzsc--18ccj95btq9zo","Champigny-sur-Veude (Indre-et-Loire, château de)",,"aménagement ou construction",,"Indre-et-Loire (Centre, département) [d3ntb7z81l--133orriip2258]",,
"place/FRAN_RI_005-d3m08ze5l29--izyjqmhu2zvq","d3m08ze5l29--izyjqmhu2zvq","Champs-sur-Marne (Seine-et-Marne, château de)",,"aménagement ou construction",,"Seine-et-Marne (Ile-de-France, département) [d3ntb8r1j8-pfqcs6tkazic]",,
"place/FRAN_RI_005-d3m08z0jbq8-gbtyd14uugsz","d3m08z0jbq8-gbtyd14uugsz","Chancelade (Dordogne, abbaye de)",,"aménagement ou construction",,"Dordogne (Aquitaine, département) [d3ntb7l0b0--1uwhs5qpi6ngo]",,
"place/FRAN_RI_005-d3m08yywdxw--1hmatkntz3dy","d3m08yywdxw--1hmatkntz3dy","Charentonneau (Val-de-Marne, château de)",,"aménagement ou construction",,"Val-de-Marne (Ile-de-France, département) [d3ntb8yzd6-1a3vkw5xig8h2]",,
"place/FRAN_RI_005-d3m08ysyf6b-1ut2ht10s0k50","d3m08ysyf6b-1ut2ht10s0k50","Charroux (Vienne, abbaye de)",,"aménagement ou construction",,"Vienne (Poitou-Charentes, département) [d3ntb909xd-94mt6ylrfluo]",,
"place/FRAN_RI_005-d-9613n6r7k-13sa1ddmjgqb0","d-9613n6r7k-13sa1ddmjgqb0","Chartreuse de Bonpas (Caumont-sur-Durance ; abbaye)",,"abbaye","La chartreuse de Bonpas est un monument historique classé datant du XIIe siècle, située dans la commune de Caumont-sur-Durance en Vaucluse, au bord de la Durance. (Source : https://fr.wikipedia.org/wiki/Chartreuse_de_Bonpas)","Caumont-sur-Durance (Vaucluse) [d3ntvp7xli--9fcloz3wp2sc]","http://www.wikidata.org/entity/Q2961261","11/08/2020 : Lieu ajouté le [11/08/2020]"
"place/FRAN_RI_005-d-3rvuvravg-128833y4parjg","d-3rvuvravg-128833y4parjg","Chartreuse de Montrieux (Méounes-lès-Montrieux ; abbaye)",,"abbaye","La chartreuse Notre-Dame de Montrieux ou Cartusia Montis Rivi est une chartreuse située à Méounes-lès-Montrieux, dans le Var en région Provence-Alpes-Côte d'Azur. La chapelle fait notamment l'objet d'un classement au titre des monuments historiques. (Source : https://fr.wikipedia.org/wiki/Chartreuse_de_Montrieux)","Méounes-lès-Montrieux (Var) [d3ntvnyufn--16mu97tzoxmvg]","http://www.wikidata.org/entity/Q2961270","12/08/2020 : Lieu ajouté le [12/08/2020]"
"place/FRAN_RI_005-d-978crhhc0--11g06qeeqsj1e","d-978crhhc0--11g06qeeqsj1e","Chartreuse de Valbonne (Saint-Paulet-de-Caisson ; abbaye)",,"abbaye","La chartreuse de Valbonne est un ancien monastère de l'ordre des Chartreux, sur la commune de Saint-Paulet-de-Caisson, dans le département du Gard et la région Occitanie. (Source : https://fr.wikipedia.org/wiki/Chartreuse_de_Valbonne )","Saint-Paulet-de-Caisson (Gard) [d3nth2cban-1mjzib0pai350]","http://www.wikidata.org/entity/Q2961286","11/08/2020 : Lieu ajouté le [11/08/2020]"
"place/FRAN_RI_005-d-1g85e4z98--u74cbmzzl88z","d-1g85e4z98--u74cbmzzl88z","Chassiron, phare de (Saint-Denis-d'Oléron ; phare)",,"phare","Le phare de Chassiron, juché sur une falaise rocheuse, est situé à l'extrémité nord de l'île d'Oléron, près de la ville de Saint-Denis-d'Oléron. Le phare permet aux marins de rentrer dans les eaux du pertuis d'Antioche, lieu semé de récifs et réputé pour ses nombreux naufrages. C'est le plus ancien phare de France encore en activité après celui de Cordouan. (Source : https://fr.wikipedia.org/wiki/Abbaye_Saint-Michel_de_Frigolet )","Saint-Denis-d'Oléron (Charente-Maritime) [d3nteqstkt--1pr4sifcsnkjw]","http://www.wikidata.org/entity/Q954613","27/04/2020 : Lieu ajouté le [27/04/2020]"
"place/FRAN_RI_005-d-9vht72pvw--inzw36treoju","d-9vht72pvw--inzw36treoju","Chastang, barrage du (Corrèze ; barrage)",,"barrage","Le barrage du Chastang est un barrage hydroélectrique situé sur le cours de la Dordogne. (Source : https://fr.wikipedia.org/wiki/Barrage_du_Chastang)","Corrèze (Limousin, département) [d3ntb7grwl-94z667d9uttv]","http://www.wikidata.org/entity/Q808808 | https://sws.geonames.org/3026345/",
"place/FRAN_RI_005-d-3mrijhaqu--1co5m1ogqvl6d","d-3mrijhaqu--1co5m1ogqvl6d","Château-Arnoux-Saint-Auban, aérodrome de (Château-Arnoux-Saint-Auban)",,"aérodrome",,"Château-Arnoux-Saint-Auban (Alpes-de-Haute-Provence) [d3ntd7xcei--aylvul1mhi66]","http://www.wikidata.org/entity/Q2875457",
"place/FRAN_RI_005-d-60oog99ll--isffoay3difb","d-60oog99ll--isffoay3difb","Château-Regnault (Bogny-sur-Meuse ; château)",,"château",,,"http://www.wikidata.org/entity/Q2967804",
"place/FRAN_RI_005-d3m08z6mjgj--16w7qnzb4fa1e","d3m08z6mjgj--16w7qnzb4fa1e","Châteliers (Charente-Maritime, abbaye des)",,"aménagement ou construction",,"Charente-Maritime (Poitou-Charentes, département) [d3ntb7f8ah--d0u6ovyjsoi0]",,
"place/FRAN_RI_005-d3m08ynhbb9-ask1xetfku72","d3m08ynhbb9-ask1xetfku72","Châtillon (Côte-d'Or, abbaye de)",,"aménagement ou construction",,"Côte-d'Or (Bourgogne, département) [d3ntb7heyx--g2riisb6ka8j]",,
"place/FRAN_RI_005-d-1g85e564g-1gevlw0qmc7tu","d-1g85e564g-1gevlw0qmc7tu","Chaubuisson, manoir de (Fontenay-Trésigny ; manoir)",,"manoir","Le manoir de Chaubuisson est un ancien relais de chasse français du XIXe siècle situé dans la commune de Fontenay-Trésigny dans le département de Seine-et-Marne et la région Île-de-France. (Source : https://fr.wikipedia.org/wiki/Manoir_de_Chaubuisson )","Fontenay-Trésigny (Seine-et-Marne) [d3nttf51cr-1l31rzxf9i6uq]","http://www.wikidata.org/entity/Q3286169","27/04/2020 : Lieu ajouté le [27/04/2020]"
"place/FRAN_RI_005-d3m08z0uco7--vb9crbjx6rau","d3m08z0uco7--vb9crbjx6rau","Chaumont-sur-Loire (Loir-et-Cher, château de)",,"aménagement ou construction",,"Loir-et-Cher (Centre, département) [d3ntb83v3p-nt9a6swe87fm]",,
